COUNTRY,GENDER,AGE,ABROAD,ABROAD_YEAR,MARITAL,EMPLOYMENT,INCOME,LE1,LE2,LE3,LE4,LE5,LE6,LE7,LE8,LE9,LE10,LE11,LE12,LE13,LE14,LE15,LE16,LE17,LE18,L19,LE20,LE21,LE22,LE23,LE24,LE25,LE26,LE27,LE28,LE29,DASS1,DASS2,DASS3,DASS4,DASS5,DASS6,DASS7,DASS8,DASS9,DASS10,DASS11,DASS12,DASS13,DASS14,DASS15,DASS16,DASS17,DASS18,DASS19,DASS20,DASS21,EX1,EX2,EX3,EX4,EX5,RELG_UP,AFF_UP,RELG_NOW,SPIRIT_NOW,AFF_NOW,AFFILIATION,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,RELBEH1,RELBEH2,RELBEH3,RELBEH4,RELBEH5,LOCUS1,LOCUS2,LOCUS3,LOCUS4,LOCUS5,LOCUS6,GOD1,GOD2,GOD3,GOD4,GOD5,GOD6,GOD7,GOD8,GOD9,GOD10,GOD11,GOD12,GOD13,GOD14,SWLS1,SWLS2,SWLS3,SWLS4,SWLS5,DAQ1,DAQ2,DAQ3,DAQ4,DAQ5,DAQ6,DAQ7,DAQ8,DAQ9,DAQ10,DAQ11,DAQ12,DAQ13,DAQ14,DAQ15,JONG1,JONG2,JONG3,JONG4,JONG5,JONG6,JONG7,JONG8,JONG9,JONG10,JONG11,JONG12,DROP1,CHECK,SBS,EDAS,DAQ,LE_Sum,DASS_Stress,DASS_Anxiety,DASS_Depression,EX_Mean,RELBEH_Mean,LOCUS_Mean,GOD_Pos,GOD_Neg,SWLS_Mean
2,2,35,1.0,2.0,3,1,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4,4,5,5,3,7.0,1.0,5,7,1,1.0,4,4,3,0,0,-4,5,5,5,6,6.0,-4,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,2,2.0,3,2,3,4.0,4.0,6.0,8.0,6.0,0.0,0.0,4.0,0.0,6.0,8.0,8.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.166666667,1.666666667,4.4,2.0,15.0,13.0,9.0,4.2,5.4,-0.6666666666666666,4.0,-2.857142857142857,2.4
3,2,38,1.0,4.0,3,1,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,4,4,4,4,3,7.0,1.0,7,8,1,1.0,4,4,4,3,4,4,8,6,7,5,6.0,3,3,3,3,3,2,4.0,4.0,4.0,3.0,4.0,4.0,4.0,-4.0,-3.0,0.0,-3.0,0.0,1.0,-4.0,3,1.0,3,2,3,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,6.0,7.0,7.0,8.0,6.0,8.0,8.0,1.0,4.0,3.0,-4.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,0.0,0.0,3.833333333,2.333333333,7.4,6.0,13.0,17.0,12.0,3.8,6.4,2.8333333333333335,3.857142857142857,-1.8571428571428572,2.4
2,2,46,1.0,11.0,1,1,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3,3,3,3,3,6.0,1.0,7,7,1,1.0,4,4,4,4,4,4,7,7,7,4,5.0,1,1,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,-4.0,4.0,4.0,-4.0,2,1.0,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,1.0,1.0,4.0,-4.0,0.133333333,4.0,9.0,9.0,7.0,3.0,6.0,3.0,4.0,1.4285714285714286,2.2
2,1,35,1.0,9.0,1,4,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,4,3,5,2,2,8.0,1.0,8,5,1,1.0,4,0,0,0,0,0,8,4,8,0,7.0,3,3,4,3,4,3,-4.0,3.0,3.0,3.0,0.0,-4.0,0.0,-4.0,3.0,-4.0,-4.0,-4.0,-4.0,-4.0,3,3.0,3,2,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.666666667,-4.0,0.2,5.0,14.0,13.0,14.0,3.2,5.4,3.3333333333333335,0.14285714285714285,-3.0,2.2
2,1,50,1.0,3.0,3,3,5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3,2,2,3,1,6.0,1.0,4,6,1,1.0,4,4,4,4,4,4,6,4,5,2,5.0,-3,-3,2,1,1,-1,3.0,4.0,3.0,2.0,3.0,4.0,4.0,-4.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,2,1.0,2,2,3,0.0,4.0,8.0,6.0,0.0,8.0,0.0,4.0,0.0,0.0,8.0,6.0,4.0,0.0,2.0,0.0,-4.0,-4.0,-4.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,1.0,1.0,4.0,-3.333333333,3.333333333,11.0,15.0,10.0,12.0,2.2,4.4,-0.5,3.2857142857142856,-3.4285714285714284,2.0
2,2,35,1.0,2.0,3,1,5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,5,4,3,5,2,2.0,28.0,2,5,1,1.0,2,3,0,2,1,4,5,3,5,4,6.0,-4,1,-4,0,1,-4,-4.0,-4.0,-3.0,-4.0,3.0,0.0,-4.0,4.0,4.0,4.0,4.0,4.0,4.0,-2.0,3,1.0,1,1,3,1.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,8.0,3.0,8.0,8.0,5.0,0.0,2.0,-4.0,-3.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-3.0,-3.0,-4.0,-3.0,1.0,1.0,2.0,-3.583333333,5.6,11.0,15.0,11.0,11.0,3.8,4.6,-1.6666666666666667,-2.2857142857142856,3.142857142857143,1.8
2,1,34,1.0,1.0,3,1,5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,5,5,5,5,5,8.0,1.0,8,8,1,1.0,4,4,4,4,4,4,8,8,8,8,8.0,4,4,4,4,4,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-4.0,-4.0,4.0,-4.0,-4.0,-4.0,-4.0,3,2.0,3,2,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,8.0,15.0,20.0,20.0,14.0,5.0,8.0,3.3333333333333335,4.0,-2.857142857142857,2.2
2,2,48,1.0,1.0,3,1,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2,2,2,3,1,7.0,1.0,7,8,1,1.0,4,0,4,4,4,0,8,8,5,1,7.0,-4,-4,-4,-4,-4,-4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,2,2.0,2,2,2,1.0,3.0,6.0,4.0,0.0,0.0,0.0,7.0,2.0,1.0,6.0,1.0,0.0,1.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,2.0,-4.0,-4.0,-4.0,1.0,1.0,2.666666667,-3.5,2.133333333,5.0,14.0,12.0,8.0,2.0,5.8,-4.0,4.0,-4.0,2.0
2,1,60,1.0,4.0,3,7,8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1,2,2,1,2,8.0,1.0,7,8,1,1.0,4,3,4,0,3,4,8,8,7,6,2.0,-4,3,2,-3,-3,-3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,2,2.0,3,2,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,-4.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,1.0,1.0,3.0,-3.833333333,0.266666667,9.0,14.0,9.0,8.0,1.6,6.2,-1.3333333333333333,4.0,-4.0,2.4
2,2,23,1.0,1.0,1,1,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4,4,4,3,3,7.0,1.0,6,7,1,1.0,4,4,4,4,4,4,6,6,6,6,5.0,-2,3,3,4,3,1,3.0,4.0,4.0,4.0,4.0,4.0,4.0,-4.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,2,2.0,3,2,0,4.0,7.0,7.0,4.0,7.0,7.0,4.0,4.0,7.0,8.0,1.0,8.0,5.0,6.0,4.0,-3.0,-2.0,-2.0,-3.0,-3.0,1.0,-2.0,0.0,-2.0,-3.0,-3.0,-2.0,0.0,0.0,4.0,-2.0,5.533333333,7.0,25.0,22.0,18.0,3.6,5.8,2.0,3.857142857142857,-3.4285714285714284,1.8
